ST,time,values
E4_Temperature,"1646468354,52452","31,57"
E4_Temperature,"1646468354,77453","31,57"
E4_Temperature,"1646468355,02454","31,57"
E4_Temperature,"1646468355,27455","31,59"
E4_Temperature,"1646468355,52456","31,59"
E4_Temperature,"1646468355,77458","31,59"
E4_Temperature,"1646468356,02459","31,59"
E4_Temperature,"1646468356,2746","31,57"
E4_Temperature,"1646468356,52461","31,57"
E4_Temperature,"1646468356,77462","31,57"
E4_Temperature,"1646468357,02463","31,57"
E4_Temperature,"1646468357,27464","31,57"
E4_Temperature,"1646468357,52466","31,57"
E4_Temperature,"1646468357,77467","31,57"
E4_Temperature,"1646468358,02468","31,57"
E4_Temperature,"1646468358,27469","31,57"
E4_Temperature,"1646468358,5247","31,57"
E4_Temperature,"1646468358,77471","31,57"
E4_Temperature,"1646468359,02473","31,57"
E4_Temperature,"1646468359,27474","31,57"
E4_Temperature,"1646468359,52475","31,57"
E4_Temperature,"1646468359,77476","31,57"
E4_Temperature,"1646468360,02477","31,57"
E4_Temperature,"1646468360,27478","31,55"
E4_Temperature,"1646468360,5248","31,55"
E4_Temperature,"1646468360,77481","31,55"
E4_Temperature,"1646468361,02482","31,55"
E4_Temperature,"1646468361,27483","31,55"
E4_Temperature,"1646468361,52484","31,55"
E4_Temperature,"1646468361,77485","31,55"
E4_Temperature,"1646468362,02486","31,55"
E4_Temperature,"1646468362,27488","31,57"
E4_Temperature,"1646468362,52489","31,57"
E4_Temperature,"1646468362,7749","31,57"
E4_Temperature,"1646468363,02491","31,57"
E4_Temperature,"1646468363,27492","31,57"
E4_Temperature,"1646468363,52493","31,57"
E4_Temperature,"1646468363,77495","31,57"
E4_Temperature,"1646468364,02496","31,57"
E4_Temperature,"1646468364,27497","31,55"
E4_Temperature,"1646468364,52498","31,55"
E4_Temperature,"1646468364,77499","31,55"
E4_Temperature,"1646468365,025","31,55"
E4_Temperature,"1646468365,27501","31,55"
E4_Temperature,"1646468365,52503","31,55"
E4_Temperature,"1646468365,77504","31,55"
E4_Temperature,"1646468366,02505","31,55"
E4_Temperature,"1646468366,27506","31,55"
E4_Temperature,"1646468366,52507","31,55"
E4_Temperature,"1646468366,77508","31,55"
E4_Temperature,"1646468367,0251","31,55"
E4_Temperature,"1646468367,27511","31,53"
E4_Temperature,"1646468367,52512","31,53"
E4_Temperature,"1646468367,77513","31,53"
E4_Temperature,"1646468368,02514","31,53"
E4_Temperature,"1646468368,27515","31,57"
E4_Temperature,"1646468368,52517","31,57"
E4_Temperature,"1646468368,77518","31,57"
E4_Temperature,"1646468369,02519","31,57"
E4_Temperature,"1646468369,2752","31,55"
E4_Temperature,"1646468369,52521","31,55"
E4_Temperature,"1646468369,77522","31,55"
E4_Temperature,"1646468370,02523","31,55"
E4_Temperature,"1646468370,27525","31,55"
E4_Temperature,"1646468370,52526","31,55"
E4_Temperature,"1646468370,77527","31,55"
E4_Temperature,"1646468371,02528","31,55"
E4_Temperature,"1646468371,27529","31,55"
E4_Temperature,"1646468371,5253","31,55"
E4_Temperature,"1646468371,77532","31,55"
E4_Temperature,"1646468372,02533","31,55"
E4_Temperature,"1646468372,27534","31,55"
E4_Temperature,"1646468372,52535","31,55"
E4_Temperature,"1646468372,77536","31,55"
E4_Temperature,"1646468373,02537","31,55"
