ST,time,values
E4_Temperature,"1647605388,97048","33,59"
E4_Temperature,"1647605389,22049","33,59"
E4_Temperature,"1647605389,47051","33,57"
E4_Temperature,"1647605389,72052","33,57"
E4_Temperature,"1647605389,97053","33,57"
E4_Temperature,"1647605390,22054","33,57"
E4_Temperature,"1647605390,47055","33,57"
E4_Temperature,"1647605390,72056","33,57"
E4_Temperature,"1647605390,97058","33,57"
E4_Temperature,"1647605391,22059","33,57"
E4_Temperature,"1647605391,4706","33,61"
E4_Temperature,"1647605391,72061","33,61"
E4_Temperature,"1647605391,97062","33,61"
E4_Temperature,"1647605392,22063","33,61"
E4_Temperature,"1647605392,47065","33,61"
E4_Temperature,"1647605392,72066","33,61"
E4_Temperature,"1647605392,97067","33,61"
E4_Temperature,"1647605393,22068","33,61"
E4_Temperature,"1647605393,47069","33,57"
E4_Temperature,"1647605393,7207","33,57"
E4_Temperature,"1647605393,97071","33,57"
E4_Temperature,"1647605394,22073","33,57"
E4_Temperature,"1647605394,47074","33,59"
E4_Temperature,"1647605394,72075","33,59"
E4_Temperature,"1647605394,97076","33,59"
E4_Temperature,"1647605395,22077","33,59"
E4_Temperature,"1647605395,47078","33,55"
E4_Temperature,"1647605395,7208","33,55"
E4_Temperature,"1647605395,97081","33,55"
E4_Temperature,"1647605396,22082","33,55"
E4_Temperature,"1647605396,47083","33,59"
E4_Temperature,"1647605396,72084","33,59"
E4_Temperature,"1647605396,97085","33,59"
E4_Temperature,"1647605397,22087","33,59"
E4_Temperature,"1647605397,47088","33,59"
E4_Temperature,"1647605397,72089","33,59"
E4_Temperature,"1647605397,9709","33,59"
E4_Temperature,"1647605398,22091","33,59"
E4_Temperature,"1647605398,47092","33,57"
E4_Temperature,"1647605398,72093","33,57"
E4_Temperature,"1647605398,97095","33,57"
E4_Temperature,"1647605399,22096","33,57"
E4_Temperature,"1647605399,47097","33,59"
E4_Temperature,"1647605399,72098","33,59"
E4_Temperature,"1647605399,97099","33,59"
E4_Temperature,"1647605400,221","33,59"
E4_Temperature,"1647605400,47102","33,59"
E4_Temperature,"1647605400,72103","33,59"
E4_Temperature,"1647605400,97104","33,59"
E4_Temperature,"1647605401,22105","33,59"
E4_Temperature,"1647605401,47106","33,57"
E4_Temperature,"1647605401,72107","33,57"
E4_Temperature,"1647605401,97109","33,57"
E4_Temperature,"1647605402,2211","33,57"
E4_Temperature,"1647605402,47111","33,59"
E4_Temperature,"1647605402,72112","33,59"
E4_Temperature,"1647605402,97113","33,59"
E4_Temperature,"1647605403,22114","33,59"
E4_Temperature,"1647605403,47115","33,59"
E4_Temperature,"1647605403,72117","33,59"
E4_Temperature,"1647605403,97118","33,59"
E4_Temperature,"1647605404,22119","33,59"
E4_Temperature,"1647605404,4712","33,59"
E4_Temperature,"1647605404,72121","33,59"
E4_Temperature,"1647605404,97122","33,59"
E4_Temperature,"1647605405,22124","33,59"
E4_Temperature,"1647605405,47125","33,57"
E4_Temperature,"1647605405,72126","33,57"
E4_Temperature,"1647605405,97127","33,57"
E4_Temperature,"1647605406,22128","33,57"
E4_Temperature,"1647605406,47129","33,59"
E4_Temperature,"1647605406,72131","33,59"
E4_Temperature,"1647605406,97132","33,59"
E4_Temperature,"1647605407,22133","33,59"
E4_Temperature,"1647605407,47134","33,57"
E4_Temperature,"1647605407,72135","33,57"
E4_Temperature,"1647605407,97136","33,57"
E4_Temperature,"1647605408,22137","33,57"
E4_Temperature,"1647605408,47139","33,59"
E4_Temperature,"1647605408,7214","33,59"
E4_Temperature,"1647605408,97141","33,59"
E4_Temperature,"1647605409,22142","33,59"
E4_Temperature,"1647605409,47143","33,57"
E4_Temperature,"1647605409,72144","33,57"
E4_Temperature,"1647605409,97146","33,57"
E4_Temperature,"1647605410,22147","33,57"
E4_Temperature,"1647605410,47148","33,57"
E4_Temperature,"1647605410,72149","33,57"
E4_Temperature,"1647605410,9715","33,57"
E4_Temperature,"1647605411,22151","33,57"
E4_Temperature,"1647605411,47153","33,59"
E4_Temperature,"1647605411,72154","33,59"
E4_Temperature,"1647605411,97155","33,59"
E4_Temperature,"1647605412,22156","33,59"
E4_Temperature,"1647605412,47157","33,57"
E4_Temperature,"1647605412,72158","33,57"
E4_Temperature,"1647605412,97159","33,57"
E4_Temperature,"1647605413,22161","33,57"
E4_Temperature,"1647605413,47162","33,59"
E4_Temperature,"1647605413,72163","33,59"
E4_Temperature,"1647605413,97164","33,59"
E4_Temperature,"1647605414,22165","33,59"
E4_Temperature,"1647605414,47166","33,57"
E4_Temperature,"1647605414,72168","33,57"
E4_Temperature,"1647605414,97169","33,57"
E4_Temperature,"1647605415,2217","33,57"
E4_Temperature,"1647605415,47171","33,59"
E4_Temperature,"1647605415,72172","33,59"
E4_Temperature,"1647605415,97173","33,59"
E4_Temperature,"1647605416,22175","33,59"
E4_Temperature,"1647605416,47176","33,57"
E4_Temperature,"1647605416,72177","33,57"
E4_Temperature,"1647605416,97178","33,57"
E4_Temperature,"1647605417,22179","33,57"
E4_Temperature,"1647605417,4718","33,57"
E4_Temperature,"1647605417,72181","33,57"
E4_Temperature,"1647605417,97183","33,57"
E4_Temperature,"1647605418,22184","33,57"
E4_Temperature,"1647605418,47185","33,59"
E4_Temperature,"1647605418,72186","33,59"
E4_Temperature,"1647605418,97187","33,59"
E4_Temperature,"1647605419,22188","33,59"
E4_Temperature,"1647605419,4719","33,59"
E4_Temperature,"1647605419,72191","33,59"
E4_Temperature,"1647605419,97192","33,59"
E4_Temperature,"1647605420,22193","33,59"
E4_Temperature,"1647605420,47194","33,59"
E4_Temperature,"1647605420,72195","33,59"
E4_Temperature,"1647605420,97196","33,59"
E4_Temperature,"1647605421,22198","33,59"
E4_Temperature,"1647605421,47199","33,57"
E4_Temperature,"1647605421,722","33,57"
E4_Temperature,"1647605421,97201","33,57"
E4_Temperature,"1647605422,22202","33,57"
E4_Temperature,"1647605422,47203","33,57"
E4_Temperature,"1647605422,72205","33,57"
E4_Temperature,"1647605422,97206","33,57"
E4_Temperature,"1647605423,22207","33,57"
E4_Temperature,"1647605423,47208","33,57"
E4_Temperature,"1647605423,72209","33,57"
E4_Temperature,"1647605423,9721","33,57"
E4_Temperature,"1647605424,22212","33,57"
E4_Temperature,"1647605424,47213","33,59"
E4_Temperature,"1647605424,72214","33,59"
E4_Temperature,"1647605424,97215","33,59"
